time,AZUL4,GOLL4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2023-04-27 10:25:00,10.06,6.1,0.9519999008916962,-0.9444984667900815,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:30:00,10.04,6.04,1.0215867871124313,-0.804353909136762,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:35:00,10.13,6.1,1.0219999008916965,-0.8024858221644317,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:40:00,10.04,6.05,1.0066556394089758,-0.8321437359407465,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:45:00,9.97,6.05,0.9366556394089773,-0.9712657154420962,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:50:00,9.94,6.05,0.9066556394089762,-1.0302454196191047,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 10:55:00,9.94,6.05,0.9066556394089762,-1.0290835883948113,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 11:00:00,9.89,6.0,0.9313113779262583,-0.9784515113290152,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 11:05:00,9.85,5.97,0.9361048210366256,-0.9676752419056768,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 11:10:00,9.86,5.96,0.9610359687400809,-0.916461467210145,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 11:15:00,9.84,5.96,0.9410359687400813,-0.955527951755547,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 11:20:00,9.85,5.99,0.9062425256297129,-1.0243123097317643,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 11:25:00,9.86,5.98,0.9311736733331681,-0.9729498752039637,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-27 11:30:00,9.85,5.98,0.9211736733331684,-0.9918647761005621,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
